,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
4045,Bukit Mertajam,Apartment / Condominium,Condominium,3,3,2,1476,Freehold,620000
4046,Perai,Apartment / Condominium,Condominium,3,2,2,996,Freehold,420000
4047,Bayan Lepas,Apartment / Condominium,Flat,2,1,0,538,Freehold,200000
4048,Relau,Apartment / Condominium,Condominium,3,3,2,1483,Freehold,730000
4049,Balik Pulau,House,Bungalow House,5,5,0,3655,Freehold,900000
4050,Balik Pulau,Apartment / Condominium,Condominium,3,2,1,850,Freehold,297000
4051,Bukit Mertajam,House,Zero-Lot Bungalow,4,4,0,4000,Freehold,1300000
4052,Alma,House,Zero-Lot Bungalow,4,5,0,3200,Freehold,888000
4053,Bukit Mertajam,House,Zero-Lot Bungalow,5,4,0,3150,Freehold,1200000
4054,Bukit Mertajam,House,Bungalow House,4,4,0,3000,Freehold,930000
4055,Bukit Minyak,House,Semi-Detached House,6,5,0,3250,Freehold,850000
4056,Georgetown,Apartment / Condominium,Apartment,3,2,1,750,Freehold,360000
4057,Bukit Mertajam,House,Terraced House,5,5,0,2772,Freehold,750000
4058,Bukit Mertajam,House,Terraced House,5,5,0,2772,Freehold,750000
4059,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1760,Freehold,370000
4060,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1760,Freehold,370000
4061,Bukit Mertajam,Apartment / Condominium,Apartment,4,2,3,1026,Freehold,410000
4062,Gelugor,Apartment / Condominium,Apartment,3,2,1,700,Freehold,290000
4063,Alma,House,2-storey Terraced House,4,3,0,1400,Freehold,1050000
4064,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,0,1054,Freehold,430000
4065,Kubang Semang,House,Bungalow House,3,1,0,2544,Freehold,255000
4066,Bukit Mertajam,House,1-storey Terraced House,3,2,0,1000,Freehold,378000
4067,Gelugor,Apartment / Condominium,Apartment,3,2,0,750,Freehold,328000
4068,Kepala Batas,House,1-storey Terraced House,3,2,0,1300,Freehold,298000
4069,Butterworth,House,2-storey Terraced House,4,3,0,1300,Freehold,498000
4070,Bertam,House,Terraced House,4,3,0,1540,Freehold,430000
4071,Bertam,House,Terraced House,4,3,0,1540,Freehold,430000
4072,Sungai Ara,Apartment / Condominium,Condominium,4,2,1,1200,Freehold,539000
4073,Bukit Mertajam,Apartment / Condominium,Apartment,3,2,2,883,Freehold,388000
4074,Bukit Mertajam,House,3-storey Terraced House,5,5,0,1400,Freehold,720000
4075,Bukit Mertajam,House,2-storey Terraced House,4,3,0,2500,Freehold,700000
4076,Balik Pulau,House,2-storey Terraced House,4,3,0,1600,Freehold,580000
4077,Bagan Lalang,House,Townhouse,3,3,0,1302,Freehold,438000
4078,Bukit Mertajam,Commercial Property,Shop lot,0,0,0,560,Freehold,130000
4079,Bukit Mertajam,Land,Agricultural,0,0,0,3.58,Freehold,950000
4080,Simpang Ampat,Land,Industrial,0,0,0,2.83,Freehold,54
4081,Georgetown,Commercial Property,Shop lot,0,0,0,1800,Freehold,1700000
4082,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1100,Freehold,560000
4083,Simpang Ampat,Land,Residential,0,0,0,9.11,Freehold,9900000
4084,Bayan Lepas,Apartment / Condominium,Service Residence,3,2,2,1000,Freehold,580000
4085,Bayan Lepas,House,Others,3,2,0,1559,Freehold,815000
4086,Simpang Ampat,House,1-storey Terraced House,3,2,0,2723,Freehold,490000
4087,Batu Uban,Apartment / Condominium,Condominium,4,2,2,1130,Freehold,720000
